,cluster,dimension,"mean fit predict time, s",best ari,best ami,best fmi
0,SelfWritedKMeans,784,0.021406708983704448,0.0,0.0,0.31824841127969716
1,SelfWritedKMeans,20,0.0008474579954054207,0.0,0.0,0.31939732624843936
2,SelfWritedKMeans,50,0.001879249990452081,0.0,0.0,0.32054212320263425
3,SelfWritedKMeans,100,0.0015583329950459301,0.0,0.0,0.31824841127969716
4,SelfWritedKMeans,105,0.0020782089850399643,0.0,0.0,0.31824841127969716
0,KMeans,784,0.006869833014206961,0.0,0.0,0.3317729043687264
1,KMeans,20,0.001863333018263802,0.0,0.0,0.3112658781274409
2,KMeans,50,0.0017327920068055391,0.0,0.0,0.32054212320263425
3,KMeans,100,0.001625208999030292,0.0,0.0,0.3317729043687264
4,KMeans,105,0.001133375015342608,0.0,0.0,0.3317729043687264
0,DBSCAN,784,0.03232204099185765,1.0,1.0,1.0
1,DBSCAN,20,0.0011345839884597808,1.0,1.0,1.0
2,DBSCAN,50,0.0005794999888166785,1.0,1.0,1.0
3,DBSCAN,100,0.0007396670116577297,1.0,1.0,1.0
4,DBSCAN,105,0.0005555410170927644,1.0,1.0,1.0
